এই	ɛ i
লগত	l ɔ ɡ ɔ t
সৈতে	x o ɪ t ɛ
এক	ɛ k
কৰাই	k ɔ ɹ a ɪ
আৰু	a ɹ u
এইটো	ɛ i t ʊ
থিয়	tʰ i ɔ
যুঁজাৰু	z ũ z a ɹ u
কেতিয়াবা	k ɛ t i a b a
পৰা	p ɔ ɹ a
গছ	ɡ ɔ s
ডিঙি	d i ŋ i
শিক্ষা	x i k kʰ a
ভাল	bʱ a l
অসমীয়া	ɔ x o m i a
বুলি	b u l i
নতুন	n ɔ t u n
থকা	tʰ ɔ k a
চহৰ	s ɔ ɦ ɔ ɹ
বুজা	b u z a
হৈ	ɦ o ɪ
বিষয়	b i x ɔ j
আন	a n
এটা	ɛ t a
কৰা	k ɔ ɹ a
বঁটা	b ɔ̃ t a
সুবিধা	x u b i dʱ a
অন্য	ɔ ɪ n n ɔ
গুৱাহাটী	ɡ u a ɦ a t i
তেওঁলোক	t ɛ ʊ̃ l ʊ k
নিজৰ	n i z ɔ ɹ
জ্বৰ	z ɔ ɹ
হাৰ	ɦ a ɹ
কম	k ɔ m
তেওঁ	t ɛ ʊ̃
ৰাতি	ɹ a t i
ভিতৰত	bʱ i t ɔ ɹ ɔ t
মই	m ɔ ɪ
তেল	t ɛ l
তেখেত	t ɛ kʰ ɛ t
হোৱা	ɦ ʊ a
নেজ	n ɛ z
দুই	d u i
বছৰ	b ɔ s ɔ ɹ
স্বাধীনতা	s a dʱ i n ɔ t a
আগতে	a ɡ ɔ t ɛ
আজান	a z a n
শব্দ	x ɔ b d ɔ
চলোৱা	s ɔ l ʊ a
মহিলা	m ɔ ɦ i l a
বীজাণু	b i z a n u
তথা	t ɔ tʰ a
ৰচনা	ɹ ɔ s ɔ n a
উঘালা	u ɡʱ a l a
ছবি	s ɔ b i
দ্বিতীয়	d i t i ɔ
কাপোৰ	k a p ʊ ɹ
ভাষা	bʱ a x a
অসম	ɔ x ɔ m
এনে	ɛ n ɛ
তৃতীয়	t ɹ i t i ɔ
