abbia	a b b j a
abbiano	a b b j a n o
abitazione	a b i t a t t͡s j o n e
accedere	a t t͡ʃ ɛ d e r e
accettare	a t t͡ʃ e t t a r e
acquistare	a k k w i s t a r e
ad	a d
adatto	a d a t t o
affermato	a f f e r m a t o
agenti	a d͡ʒ ɛ n t i
aggiunge	a d d͡ʒ u n d͡ʒ e
aggiunto	a d d͡ʒ u n t o
agio	a d͡ʒ o
agli	a ʎ ʎ i
aiuto	a j u t o
alcuni	a l k u n i
alessandra	a l e s s a n d r a
alessio	a l ɛ s s j o
alimentare	a l i m e n t a r e
alle	a l l e
allegramente	a l l e ɡ r a m e n t e
allenamento	a l l e n a m e n t o
allineato	a l l i n e a t o
allo	a l l o
allora	a l l o r a
allucinato	a l l u t͡ʃ i n a t o
almeno	a l m e n o
alti	a l t i
altre	a l t r e
altri	a l t r i
altro	a l t r o
alture	a l t u r e
amici	a m i t͡ʃ i
amicizia	a m i t͡ʃ i t t͡s j a
ampio	a m p j o
analisi	a n a l i z i
anche	a n k e
andare	a n d a r e
anno	a n n o
antognoni	a n t o ɲ ɲ o n i
antonella	a n t o n ɛ l l a
appalti	a p p a l t i
appello	a p p ɛ l l o
applicare	a p p l i k a r e
applicazione	a p p l i k a t t͡s j o n e
appuntamento	a p p u n t a m e n t o
arezzo	a r e t t͡s o
armati	a r m a t i
arpa	a r p a
arricchito	a r r i k k i t o
arrivo	a r r i v o
assedio	a s s ɛ d j o
assicurato	a s s i k u r a t o
assistenza	a s s i s t ɛ n t͡s a
assolutistico	a s s o l u t i s t i k o
attacca	a t t a k k a
attaccamento	a t t a k k a m e n t o
attività	a t t i v i t a
attraverso	a t t r a v ɛ r s o
augusta	a w ɡ u s t a
auto	a w t o
autunno	a w t u n n o
avanti	a v a n t i
avesse	a v e s s e
avete	a v e t e
aveva	a v e v a
avevo	a v e v o
azienda	a d d͡z j ɛ n d a
balzo	b a l t͡s o
bambino	b a m b i n o
banca	b a n k a
banditi	b a n d i t i
basso	b a s s o
battaglia	b a t t a ʎ ʎ a
bel	b ɛ l
ben	b ɛ n
bisogno	b i z o ɲ ɲ o
borgo	b o r ɡ o
brasiliano	b r a z i l j a n o
brevi	b r ɛ v i
brutale	b r u t a l e
buon	b w ɔ n
bush	b u ʃ
cadavere	k a d a v e r e
calabria	k a l a b r j a
calcio	k a l t͡ʃ o
calendario	k a l e n d a r j o
calore	k a l o r e
cambiare	k a m b j a r e
cambio	k a m b j o
camion	k a m j o n
camminare	k a m m i n a r e
campagna	k a m p a ɲ ɲ a
campania	k a m p a n j a
campionato	k a m p j o n a t o
cane	k a n e
canzone	k a n t͡s o n e
capitolo	k a p i t o l o
capolino	k a p o l i n o
capoluogo	k a p o l w ɔ ɡ o
