cunoscut	k u n o s k u t
să	s ə
un	u n
de	d e
din	d i n
cat	k a t
cu	k u
lui	l u j
continue	k o n t i n u e
seara	s e̯ a r a
nu	n u
bine	b i n e
gol	ɡ o l
până	p ɨ n ə
acestuia	a t͡ʃ e s t u j a
pe	p e
mai	m a j
lei	l e j
doar	d o̯ a r
vineri	v i n e rʲ
am	a m
au	a w
cele	t͡ʃ e l e
oficială	o f i t͡ʃ i a l ə
tot	t o t
această	a t͡ʃ e̯ a s t ə
acestea	a t ʃ e s t e̯ a
cât	k ɨ t
avea	a v e̯ a
la	l a
nou	n o w
ar	a r
merge	m e r d͡ʒ e
față	f a t s ə
conform	k o n f o r m
urmări	u r m ə r i
peste	p e s t e
își	ɨ ʃʲ
ca	k a
sa	s a
le	l e
lor	l o r
vor	v o r
mine	m i n e
capital	k a p i t a l
ouă	o w ə
cap	k a p
al	a l
alba	a l b a
se	s e
iulie	j u l i j e
chiar	k j a r
însă	ɨ n s ə
ea	j a
bilet	b i l e t
întoarce	ɨ n t o̯ a r t͡ʃ e
ușor	u ʃ o r
nostru	n o s t r u
refuza	r e f u z a
acesta	a t͡ʃ e s t a
care	k a r e
departe	d e p a r t e
dar	d a r
stat	s t a t
inel	i n e l
acest	a t͡ʃ e s t
ianuarie	j a n w a r i j e
producție	p r o d u k t͡s i e
capitală	k a p i t a l ə
rămas	r ə m a s
bunuri	b u n u rʲ
galben	ɡ a l b e n
său	s ə w
are	a r e
local	l o k a l
unui	u n u j
serviciu	s e r v i t͡ʃ j u
întrucât	ɨ n t r u k ɨ t
atât	a t ɨ t
acuzat	a k u z a t
redus	r e d u s
mare	m a r e
mediu	m e d j u
ne	n e
altă	a l t ə
astăzi	a s t ə zʲ
spus	s p u s
național	n a t͡s i o n a l
una	u n a
sincer	s i n t͡ʃ e r
sâmbătă	s ɨ m b ə t ə
aiurea	a j u r e̯ a
repede	r e p e d e
martie	m a r t i j e
avut	a v u t
soție	s o t͡s i j e
acolo	a k o l o
îl	ɨ l
ajuta	a ʒ u t a
verde	v e r d e
mult	m u l t
luni	l u nʲ
prin	p r i n
vie	v i e
ei	j e j
noua	n o w a
asemenea	a s e m e n e̯ a
coronavirus	k o r o n a v i r u s
pauză	p a u z ə
ele	j e l e
ediție	e d i t͡s i e
credință	k r e d i n t͡s ə
noastre	n o̯ a s t r e
unei	u n e j
binefăcător	b i n e f ə k ə t o r
copil	k o p i l
mă	m ə
cei	t͡ʃ e j
sub	s u b
medicament	m e d i k a m e n t
februarie	f e b r u a r i j e
niște	n i ʃ t e
situație	s i t u a t͡s i e
prima	p r i m a
joi	ʒ o j
instituții	i n s t i t u t͡s iː
judecată	ʒ u d e k a t ə
droguri	d r o ɡ u rʲ
decembrie	d e t͡ʃ e m b r i j e
vă	v ə
dezvoltat	d e z v o l t a t
loc	l o k
putea	p u t e̯ a
oare	o̯ a r e
administrativ	a d m i n i s t r a t i v
cititor	t͡ʃ i t i t o r
alt	a l t
cineva	t͡ʃ i n e v a
medic	m e d i k
albă	a l b ə
prins	p r i n s
posibil	p o s i b i l
tău	t ə w
început	ɨ n t͡ʃ e p u t
prezent	p r e z e n t
ninge	n i n d ʒ e
el	j e l
două	d o w ə
ai	a j
doua	d o w a
criză	k r i z ə
îndoială	ɨ n d o j a l ə
trecut	t r e k u t
producători	p r o d u k ə t o rʲ
ci	t͡ʃ i
iunie	j u n i j e
dimineața	d i m i n e̯ a t͡s a
acel	a t ʃ e l
fonduri	f o n d u rʲ
floarea	f l o̯ a r e̯ a
te	t e
între	ɨ n t r e
toamnă	t o̯ a m n ə
țigan	t͡s i ɡ a n
fiecare	f i e k a r e
aceasta	a t͡ʃ e̯ a s t a
românia	r o m ɨ n i a
respect	r e s p e k t
trebui	t r e b u i
ploaie	p l o̯ a j e
luare	l u a r e
parte	p a r t e
semnat	s e m n a t
varia	v a r i a
comune	k o m u n e
acei	a t͡ʃ e j
spune	s p u n e
cea	t͡ʃ e̯ a
temperatură	t e m p e r a t u r ə
marți	m a r t͡sʲ
bani	b a nʲ
aparat	a p a r a t
nivel	n i v e l
acestora	a t͡ʃ e s t o r a
aprilie	a p r i l i j e
vrea	v r e̯ a
europa	e u r o p a
bun	b u n
marca	m a r k a
exterior	e k s t e r i o r
oameni	o̯ a m e nʲ
câte	k ɨ t e
continua	k o n t i n u a
muncă	m u ŋ k ə
octombrie	o k t o m b r i j e
niciun	n i t͡ʃʲ u n
public	p u b l i k
noi	n o j
gen	d͡ʒ e n
știință	ʃ t i i n t͡s ə
normal	n o r m a l
apartament	a p a r t a m e n t
vara	v a r a
valoare	v a l o̯ a r e
complet	k o m p l e t
doi	d o j
germania	d͡ʒ e r m a n i a
prost	p r o s t
descriere	d e s k r i e r e
cuprins	k u p r i n s
reduce	r e d u t ʃ e
ale	a l e
septembrie	s e p t e m b r i j e
creier	k r e j e r
marea	m a r e̯ a
nord	n o r d
aceștia	a t͡ʃ e ʃ t j a
unor	u n o r
vine	v i n e
istoric	i s t o r i k
precum	p r e k u m
dragă	d r a ɡ ə
urmă	u r m ə
bărbat	b ə r b a t
exact	e ɡ z a k t
acele	a t͡ʃ e l e
lume	l u m e
acea	a t͡ʃ e̯ a
european	e u r o p e̯ a n
femeia	f e m e j a
ori	o rʲ
rezultat	r e z u l t a t
general	d͡ʒ e n e r a l
adevărat	a d e v ə r a t
cauză	k a u z ə
ora	o r a
cadou	k a d o w
direct	d i r e k t
activa	a k t i v a
